1.99909,1.00046,2.06261,1.39614,2.05061,1.38602
2.99836,1.50115,3.63252,1.83643,3.61992,1.84997
3.99966,2.00168,4.29263,1.57241,4.46121,1.72246
5.00036,2.50211,5.40021,1.89252,5.53412,1.92553
6.00004,3.00400,6.44033,2.60690,6.60734,2.37070
7.00103,3.50338,6.42701,2.64281,7.25508,2.64837
8.00117,4.00383,7.66273,3.97071,8.10377,3.29387
9.00132,4.50238,9.11322,3.80681,9.13701,3.69246
10.00203,5.00272,9.57421,4.66942,10.00165,4.22958
11.00236,5.50447,10.55407,5.80719,10.88897,4.94124
12.00328,6.00301,12.39250,5.88493,12.01662,5.50739
13.00379,6.50254,13.10441,6.46976,13.04963,6.08739
14.00396,7.00290,13.34850,7.33717,13.89387,6.74642
15.00511,7.50283,14.69689,7.05351,14.84185,7.20013
16.00434,8.00350,16.57245,7.85599,15.99850,7.72979
17.00401,8.50344,16.90519,8.57114,16.98557,8.30473
18.00574,9.00317,17.92341,9.48475,17.97728,8.96237
19.00469,9.50267,18.73368,8.74385,18.92763,9.32791
20.00273,10.00194,20.79710,10.03986,20.11457,9.87907
